Provinsi,2020,2021,2022
ACEH,24806.00,834.00,369.00
SUMATERA UTARA,3912.00,4486.00,7031.00
SUMATERA BARAT,6193.00,1310.00,794.00
RIAU,3342.00,389.00,233.00
JAMBI,102.00,74.00,82.00
SUMATERA SELATAN,1563.00,352.00,835.00
BENGKULU,352.00,69.00,71.00
LAMPUNG,4833.00,421.00,266.00
KEP. BANGKA BELITUNG,472.00,1490.00,25.00
KEP. RIAU,10909.00,2178.00,20181.00
DKI JAKARTA,2470.00,2333.00,2904.00
JAWA BARAT,8006.00,6011.00,1810.00
JAWA TENGAH,1175.00,789.00,986.00
DI YOGYAKARTA,5008.00,515.00,4871.00
JAWA TIMUR,5433.00,2084.00,7723.00
BANTEN,603.00,619.00,537.00
BALI,219740.00,88294.00,517705.00
NUSA TENGGARA BARAT,17840.00,5840.00,11796.00
NUSA TENGGARA TIMUR,33683.00,4165.00,25979.00
KALIMANTAN BARAT,878.00,975.00,1624.00
KALIMANTAN TENGAH,302.00,1113.00,269.00
KALIMANTAN SELATAN,27.00,50.00,32.00
KALIMANTAN TIMUR,122.00,192.00,6.00
KALIMANTAN UTARA,1198.00,57.00,537.00
SULAWESI UTARA,3468.00,151.00,841.00
SULAWESI TENGAH,484.00,116.00,745.00
SULAWESI SELATAN,5423.00,178.00,1709.00
SULAWESI TENGGARA,535.00,1909.00,48.00
GORONTALO,66.00,25.00,15.00
SULAWESI BARAT,2.00,0.00,23.00
MALUKU,764.00,0.00,285.00
MALUKU UTARA,386.00,43.00,30.00
PAPUA BARAT,1461.00,1006.00,274.00
PAPUA,883.00,111.00,454.00
,,,
,,,
,,,
