ACEH,309441.00,760758.00,683502.00
SUMATERA UTARA,1450824.00,3104121.00,2506793.00
SUMATERA BARAT,236691.00,627289.00,759947.00
RIAU,549133.00,1173258.00,1169578.00
JAMBI,171865.00,461091.00,375395.00
SUMATERA SELATAN,471534.00,936355.00,790464.00
BENGKULU,145130.00,299329.00,150900.00
LAMPUNG,283114.00,846967.00,900313.00
KEP. BANGKA BELITUNG,65988.00,160737.00,136972.00
KEP. RIAU,351439.00,746304.00,492733.00
DKI JAKARTA,637975.00,1703088.00,991956.00
JAWA BARAT,1841886.00,4295985.00,4472316.00
JAWA TENGAH,1888678.00,3771242.00,4095399.00
DI YOGYAKARTA,812546.00,1498108.00,1420260.00
JAWA TIMUR,1573513.00,4206738.00,4851779.00
BANTEN,283211.00,460186.00,325878.00
BALI,130270.00,598234.00,727781.00
NUSA TENGGARA BARAT,198071.00,508162.00,620040.00
NUSA TENGGARA TIMUR,102821.00,286607.00,332962.00
KALIMANTAN BARAT,517790.00,1122672.00,1178190.00
KALIMANTAN TENGAH,381728.00,737948.00,688037.00
KALIMANTAN SELATAN,302946.00,618299.00,589875.00
KALIMANTAN TIMUR,266465.00,745114.00,362847.00
KALIMANTAN UTARA,80940.00,217331.00,244652.00
SULAWESI UTARA,85368.00,341187.00,166091.00
SULAWESI TENGAH,203042.00,541316.00,486905.00
SULAWESI SELATAN,446177.00,1265458.00,1032811.00
SULAWESI TENGGARA,201418.00,554939.00,397525.00
GORONTALO,52439.00,143630.00,123850.00
SULAWESI BARAT,87737.00,196100.00,170952.00
MALUKU,88069.00,366861.00,241494.00
MALUKU UTARA,108127.00,224058.00,291014.00
PAPUA BARAT,72184.00,162052.00,86887.00
PAPUA,149270.00,319449.00,228910.00
,,,
,,,
,,,
