Nominee,Wins,Nominations
Beyonce[ 1],32,88
Quincy Jones[ 2],28,80
Chick Corea[ 3],27,71
Alison Krauss[ 4],27,44
Stevie Wonder[ 5],25,74
John Williams[ 6],25,73
Vladimir Horowitz[ 7],25,45
Jay-Z[ 8],24,88
Kanye West[ 9],24,75
Vince Gill[ 10],22,47
Henry Mancini[ 11],20,72
Bruce Springsteen[ 12],20,50
Pat Metheny[ 13],20,37
Al Schmitt[ 14],20,36
Tony Bennett[ 15],19,41
Yo-Yo Ma[ 16],19,29
Aretha Franklin[ 17],18,44
Jimmy Sturr[ 18],18,24
Kendrick Lamar[ 19],17,47
Ray Charles[ 20],17,37
Leonard Bernstein[ 21],16,63
James Mallinson[ 22],16,49
Robert Shaw[ 23],16,38
Paul Simon[ 24] Steven Epstein[ 25],16,35
Kirk Franklin[ 26],16,26
David Frost[ 27],16,25
Eminem[ 28],15,44
Bruno Mars[ 29],15,31
Foo Fighters[ 30] CeCe Winans[ 31],15,31
Alicia Keys[ 32],15,29
Adele[ 33],16,25
Bela Fleck[ 34],14,34
Jerry Douglas[ 35],14,33
Phil Ramone[ 36],14,32
Alison Krauss and Union Station[ 37],14,18
Jay David Saks[ 38],13,53
Emmylou Harris[ 39],13,47
Michael Jackson[ 40] Pharrell Williams[ 41],13,38
Lady Gaga[ 42],13,34
Johnny Cash[ 43],13,35
Bonnie Raitt[ 44],13,30
Robert Woods[ 45],13,29
Taylor Hawkins[ 46],13,26
Leontyne Price[ 47],13,25
Ella Fitzgerald[ 48],13,20
T Bone Burnett[ 49],13,18
Thomas Z Shepard[ 50],12,50
John Legend[ 51],12,36
The Chicks[ 52],12,19
Jay Newland[ 53],12,17
Babyface[ 54],11,50
Taylor Swift[ 55],12,46
Michael Tilson Thomas[ 56],11,38
Shirley Caesar[ 57],11,28
Al Green[ 58],11,21
Arif Mardin[ 59] Roger Miller[ 60],11,18
Andre Previn[ 61],10,44
Justin Timberlake[ 62],10,39
Bob Dylan[ 63],10,38
James Levine[ 64],10,37
Linda Ronstadt[ 65],10,27
Chaka Khan[ 66],10,22
Bobby McFerrin[ 67],10,18
Carlos Santana[ 68],10,14
Pat Metheny Group[ 69],10,13
Willie Nelson[ 70],10,52
Mary J. Blige[ 71],9,38
Rihanna[ 72],9,33
Frank Sinatra[ 73] Sheryl Crow[ 74],9,31
James Blackwood Sr.[ 75],9,26
Brandi Carlile[ 76],9,25
Natalie Cole[ 77],9,21
Count Basie[ 78],9,20
Joni Mitchell[ 79],9,17
Norah Jones[ 80],9,16
Hillary Scott[ 81],9,15
Emerson String Quartet[ 82],9,13
Dolly Parton[ 83],9,50
Barbra Streisand[ 84],8,46
Luther Vandross[ 85],8,33
Asleep At The Wheel[ 86],8,27
Tina Turner[ 87],8,25
Usher[ 88],8,22
Fergie[ 89],8,20
"Take 6[ 90] Lauryn Hill[ 91]
Blackwood Brothers[ 92]",8,19
"Anita Baker[ 93] Metallica[ 94] Rick Rubin[ 95]
James Blackwood Jr..[ 96]",8,18
Chris Stapleton[ 97] Carrie Underwood[ 98],8,16
Ziggy Marley[ 99],8,15
Eddie Palmieri[ 100],8,14
"The Manhattan Transfer[ 101]
Art Garfunkel[ 102] Anderson .Paak[ 103]",8,13
Skrillex[ 104] Santana[ 105],8,12
Stephen Marley[ 106],8,11
Finneas O'Connell[ 107],8,9
Prince[ 108],7,38
Madonna[ 109],7,28
will.i.am[ 110] Dr. Dre[ 111],7,26
André 3000[ 112],7,23
Gladys Knight[ 113],7,22
Thomas Frost[ 114],7,21
John Mayer[ 115],7,19
Billie Eilish[ 116],7,17
Los Tigres del Norte[ 117],7,15
Toni Braxton[ 118],7,14
"Simon & Garfunkel[ 119]
Ricky Skaggs and Kentucky Thunder[ 120]",7,11
Leslie Ann Jones[ 121],7,9
Whitney Houston[ 122],6,25
Robert M. Jones[ 123],6,23
Amy Grant[ 124] James Taylor[ 125],6,19
Eagles[ 126] Big Boi[ 127],6,18
"Jack Antonoff[ 128] Questlove,[ 129] br/>",6,17
Israel Houghton[ 130] OutKast[ 131],6,16
Black Eyed Peas[ 132] Dr. John[ 133],6,15
Tito Puente[ 134],6,12
Tim Martyn[ 135],6,10
Kacey Musgraves[ 136],6,9
Mariah Carey[ 137],5,34
Lil Wayne[ 138],5,27
Janet Jackson[ 139],5,26
H.E.R.[ 140],5,25
Billy Joel[ 141],5,23
Christina Aguilera[ 142],5,20
Donna Summer[ 143] Cee Lo Green[ 144],5,18
Mary Chapin Carpenter[ 145],5,17
"Peter, Paul & Mary[ 146]",5,16
Dionne Warwick[ 147] Michael McDonald[ 148],5,14
Sandi Patty[ 149] Kuk Harrell[ 150],5,13
"Maria Schneider[ 151]
Childish Gambino[ 152] Robert Glasper",5,12
Jon Batiste[ 153] Lady A[ 154],5,11
Christopher Cross[ 155],5,9
"David Russell (guitarist)[ 156] Flaco Jimenez[ 157]
Ward Swingle[ 158]",5,8
India.arie[ 159],4,23
Timbaland[ 160],4,21
"Erykah Badu[ 161]
Keith Urban[ 162] PJ Morton",4,19
Lyle Lovett[ 163],4,17
"Lizzo[ 164]
Yolanda Adams[ 165] Tracy Chapman[ 166] The Weeknd [ 167]",4,13
Marvin Hamlisch[ 168] Lisa Lopes[ 169],4,12
Lenny Kravitz[ 170] Carole King[ 171] Sade[ 172],4,9
Robert Spano[ 173] Will Smith[ 174],4,8
Pepe Aguilar[ 175],4,7
Silk Sonic[ 176],4,4
R. Kelly[ 177],3,26
Pink[ 178] Ludacris[ 179],3,20
T.I[ 180],3,19
Gwen Stefani[ 181] Loretta Lynn[ 182],3,18
Etta James[ 183],3,17
Bill Holman[ 184] Reba McEntire [ 185] Kelly Clarkson[ 186],3,16
Elvis Presley[ 187] Harry Connick Jr.[ 188] Destiny's Child[ 189] The Roots[ 190],3,14
"Clare Fischer[ 191] Puff Daddy[ 192] Maroon 5[ 193]
Maxwell (musician)[ 194]
DiploDiplo at Grammys (https://www.grammy.com/grammys/artists/diplo)",3,13
"Gloria Estefan[ 195]
Red Hot Chili Peppers[ 196]",3,12
Los Lobos[ 197] Vikki Carr[ 198] Fiona Apple[ 199] Lori McKenna[ 200],3,11
Rob Thomas[ 201] Shawn Colvin[ 202] Taj Mahal[ 203],3,10
Steely Dan[ 204] Harry Styles[ 205],3,9
James Brown[ 206]  Chance the Rapper[ 207] Ross Bagdasarian Sr.[ 208],3,8
The Carpenters [ 209] Olivia Rodrigo,3,7
The Flaming Lips[ 210] Megan Thee Stallion[ 211] Lin-Manuel Miranda[ 212],3,6
Bob Newhart[ 213] Esperanza Spalding[ 214] Toto[ 215],3,5
St. Vincent[ 216],3,4
Tool (band)[ 217] Lenny White[ 218] Dan + Shay[ 219] Pentatonix[ 220],3,3
Jazmine Sullivan,2,18
Cyndi Lauper,2,16
Melissa Etheridge Ariana Grande[ 221],2,15
Peter Kater,2,14
Patti LaBelle T-Pain[ 222],2,13
Marvin Gaye Kenny Loggins,2,12
Barry White,2,11
Yehudi Menuhin Future,2,10
"Intocable No Doubt
Jimmy Carter Brian Wilson",2,9
Marc Anthony Peter Nero Nate Ruess Bon Iver Soundgarden,2,8
La Mafia LeAnn Rimes Brave Combo Fleetwood Mac Frank Ocean,2,7
Jennifer Hudson Linkin Park Andrew Dost Evanescence Bad Bunny Natalie Hemby,2,6
"Nate Hills Otis Redding Bobby Darin
Tyler, the Creator Vernon Reid Colbie Caillat Lorde
Aaron Dessner",2,5
"Ted Nash (saxophonist, born 1960) The Wreckers
Lauren Daigle Kaytranada Jason Mraz Nipsey Hussle",2,4
"Little Joe y La Familia Lisa Fischer
Tori Kelly Rufus
Thundercat (musician) David Robertson[ 223]",2,3
"Selena
Judy Garland Samara Joy",2,2
Chris Brown,1,20
Kenny G,1,17
Doja Cat Nas,1,16
SZA,1,15
50 Cent   Elvis Costello,1,14
Ledisi,,
Ray Barretto Miguel,1,13
Pearl Jam Carter Beauford Brandy Norwood Fantasia (singer),1,12
"Dave Matthews Band Eddie Blazonczyk Jon Bon Jovi
J. Cole
Lucky Daye",1,11
"DJ Khaled Q-Tip
Chicago (band) David Crosby",1,10
"Cardi B
The Neptunes Bon Jovi Arcade Fire Roddy Ricch",1,9
"Ashanti Al Hirt
Britney Spears Mariachi Divas
John McLaughlin Williams Stephen Stills
Sara Bareilles Faith Evans Lil Baby",1,8
"Cher
Queen Latifah Mongo Santamaria Paula Cole
Nat King Cole Rhonda Vincent",1,7
"Steve Lacy Stargate Bobby Bare
Crosby, Stills & Nash Nirvana
Twenty One Pilots",1,6
"Gloria Gaynor Emilio Navaira Ciara
Fun (band) Richard Marx",1,5
"Enrique Iglesias The Chainsmokers Steve Jordan  Pink Floyd Michelle Branch Frank Yankovic
Kentucky Headhunters Imagine Dragons Alfred Newman",1,4
"Julieta Venegas Monica
21 Savage Hykeem Carter Leon Bridges Ella Mai
Muni Long Weezer",,
"Cal Tjader
Mariachi los Camperos Texas Tornados
Los Palominos Rüfüs Du Sol Meghan Trainor La Santa Cecilia Lila Downs
The Band Perry Lupillo Rivera Nadia Shpachenko Andra Day
Harry Styles",1,3
"Creed (band) Gloria Cheng Bacilos
Los Super Seven The Legends Paula Abdul Bobby Brown  Bo Burnham Otha Nash
America (band)[ 224]
Lisa Loeb & Nine Stories",1,2
"Jesse Harris Sirah (rapper) Solange Chris Perez
Stephen McLaughlin Chente Barrera
Los Texmaniacs Jessica Rivera
Puff Daddy & The Family The Product G&B Timothy Fallon
Freddie Nartinez, Jr. Daya",1,1
