id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_balita_stunting,satuan,tahun,jumlah_ibu_hamil_kek_kunjungan,BALITA GIZI KURANG,BALITA KURUS,BALITA PENDEK,status_pencemaran_air,status_pencemaran_tanah,status_pencemaran_udara
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,18752,ORANG,2019,1536,20999,16179,86706,68,28,93
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,15583,ORANG,2019,1962,8016,6641,11352,59,28,52
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12761,ORANG,2019,613,8553,3570,10017,49,30,43
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,19121,ORANG,2019,1202,12706,3954,15020,72,30,69
140,32,JAWA BARAT,3205,KABUPATEN GARUT,9723,ORANG,2019,1414,7718,3682,9255,68,36,62
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,17254,ORANG,2019,1374,8865,2971,17254,35,19,39
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,4254,ORANG,2019,556,306,1613,614,20,11,25
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5553,ORANG,2019,1319,4088,2270,5553,26,12,30
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,14127,ORANG,2019,1841,13743,6098,14127,66,22,53
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4642,ORANG,2019,1019,4220,2133,3905,24,13,22
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6780,ORANG,2019,631,4237,1676,6780,28,17,37
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,19458,ORANG,2019,507,13640,10369,20255,31,15,41
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,2476,ORANG,2019,935,3974,1892,2476,28,13,30
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3451,ORANG,2019,354,2622,669,2453,20,11,58
