lagu,artis,tahun ,genre,,
Papaja Cha Cha,Adikarso,1955,"Samba, cha-cha, jazz",,
Sabda Alam,Ismail Marzuki,1956,Blues,,
Nurlela,Bing Slamet,1956,Dance,,
Bengawan Solo,Oslan Husein & Teruna Ria,1959,Keroncong,,
Payung Fantasi,Bing Slamet,1959,Jazz,,
Ayam Den Lapeh,Gumarang,1959,Blues,,
Angin Malam,Broery Pesolima,1962,Blues,,
Genjer Genjer,Bing Slamet,1963,Folk,,
Surat Undangan,Rita Zaharah,1963,Soul,,0
Bis Sekolah,Koes Bersaudara,1964,Rock and roll,,
Gang Kelinci,Lilis Suryani,1965,Rock,,
Di Dalam Bui,Koes Bersaudara,1965,Rock ballad,,
Surabaya,Dara Puspita,1966,Pop,,
Mari Mari,Dara Puspita,1966,Garage rock,,
Kudaku Lari,Elly Kasim,1966,,,
Kembali Ke Jakarta,Koes Plus,1969,Rock,,
Kelelawar,Koes Plus,1969,Rock,,
Manis & Sayang,Koes Plus,1969,Rock,,
Kompor Mleduk,Benyamin S,1970,Rock and roll,,
Do What You Like,AKA,1970,Hard rock,,
Nusantara I,Koes Plus,1971,Reggae,,
Melati Dari Jayagiri,Bimbo,1971,Soul,,
Bunga di Tepi Jalan,Koes Plus,1971,Rock,,
Flamboyan,Bimbo,1971,Soul,,
Tuhan,Bimbo,1972,Soul,,
Mawar Berduri,Favourites Group,1972,Blues,,
Pelangi,Koes Plus,1972,Rock,,
Kolam Susu,Koes Plus,1973,Rock,,
Bing,Titik Puspa,1973,Blues,,
Malaria,Harry Roesli,1973,Rock,,
Gubahanku,Deddy Damhudi,1973,Blues,,
Begadang,Rhoma Irama,1974,Dangdut,,
Api Asmara,Rien Djamain,1975,Soul,,
Jemu,Koes Plus,1975,Rock,,
Pergi Untuk Kembali,Melky Goeslaw,1975,,,
Renjana,Grace Simon,1976,Blues,,
Baby Rock,SAS,1976,Hard rock,,
Mimpi,D & R,1976,,,
Badai Pasti Berlalu,Berlian Hutauruk,1977,Soul,,
Lilin-Lilin Kecil,Chrisye,1977,Soul,,
Neraka Jahanam,Duo Kribo,1977,Hard rock,,
Kupu-Kupu Malam,Titik Puspa,1977,Blues,,
Merpati Putih,Chrisye,1977,Soul,,
Damai Tapi Gersang,Hetty Koes Endang,1977,Jazz,,
Indonesia Mahardika,Guruh Gipsy,1977,Progressive rock,,
Merepih Alam,Chrisye,1977,Soul,,
Gulagalugu Suara Nelayan,Leo Kristi,1977,Beach folk,,
Panggung Sandiwara,Ahmad Albar,1978,Rock,,
Kidung,Chris Manusama,1978,Soul,,
Nuansa Bening,Keenan Nasution,1978,Rock,,
Pemuda,Chaseiro,1978,Pop,,
Zamrud Khatulistiwa,Keenan Nasution,1978,Pop,,
Apatis,Benny Soebardja,1978,Rock,,
Anak Jalanan,Chrisye,1978,Soul,,
Hasrat & Cita,Andi Meriem Matalatta,1978,Pop,,
Musim Bunga,Franky & Jane,1978,Country pop,,
Jari & Jempol,Dedy Stanzah,1978,Dance-rock,,
Kebyar Kebyar,Gombloh,1979,Rock,,
Berita Kepada Kawan,Ebiet G. Ade,1979,Soul,,
Kemarau,New Rollies,1979,Jazz,,
Camellia,Ebiet G. Ade,1979,Soul,,
Sepercik Air,Deddy Stanzah,1979,Soul,,
Selangkah Ke Seberang,Fariz RM,1979,Pop,,
Sakura,Fariz RM,1980,Rhythm and blues,,
Simponi Yang Indah,Bob Tutupoly,1980,,,
Guru Oemar Bakrie,Iwan Fals,1981,Country,,
Yang Terlupakan,Iwan Fals,1981,Rock,,
Sarjana Muda,Iwan Fals,1981,Soul,,
Kau,Chandra Darusman,1981,Jazz,,
Galang Rambu Anarki,Iwan Fals,1982,Country,,
Interlokal,Symphony,1982,Pop New wave,,
Berita Cuaca,Gombloh,1982,Rock,,
Esok Kan Masih Ada,Utha Likumahuwa,1984,Soul,,
Burung Camar,Vina Panduwinata,1985,Pop,,
Jarum Neraka,Nicky Astria,1985,Rock,,
Tangan Tangan Setan,Nicky Astria,1985,Rock,,
Kumpul Bocah,Vina Panduwinata,1985,Pop,,
Anak Anak Terang,Suara Persaudaraan,1985,Pop,,
Melayang,January Christy,1986,Jazz,,
Astaga,Ruth Sahanaya,1986,Pop,,
Laron Laron,Makara,1986,Rock,,
Surat Buat Wakil Rakyat,Iwan Fals,1987,Rock,,
Pesawat Tempur,Iwan Fals,1987,Rock,,
Ratu Sejagad,Vonny Sumlang,1987,Pop rock,,
Kembalikan Baliku,Jopie Latul,1987,,,
Kehidupan,God Bless,1988,Hard rock,,
Rumah Kita,God Bless,1988,Rock,,
Barcelona,Fariz RM,1988,Rhythm and blues,,
Gemilang,Krakatau,1988,Pop,,
Pesta,Elfa's Singers,1988,Pop,,
Bongkar,Swami,1989,Rock,,
Bento,Swami,1989,Rock,,
Tentang Kita,Kla Project,1989,Pop rock,,
Yogyakarta,Kla Project,1990,Rhythm and blues,,
Mimpi,Anggun C. Sasmi,1990,Rock,,
Aku Ingin,Indra Lesmana,1990,Pop,,
Memang,Slank,1991,Alternative rock,,
Kesaksian,Kantata Takwa,1991,Rock,,
Pulau Biru,Slank,1991,Alternative rock,,
Takkan,Guest Band,1991,New wave,,
Rock Bergema,Roxx,1992,Heavy metal,,
Ikuti,Edane,1992,Heavy metal,,
Penguasa,Roxx,1992,Heavy metal,,
Biru,Kidnap Katrina,1993,Rock,,
Kepada Perang,Gong 2000,1993,Heavy metal,,
Anak Pantai,Imanez,1994,Reggae,,
Impresi,Pas,1994,Alternative rock,,
Wa..lah,Netral,1994,Alternative rock,,
Terserah,Humania,1994,Reggae,,
Negeri Di Awan,Katon Bagaskara,1994,Pop,,
Terbunuh Sepi,Slank,1994,"Alternative rock, slow rock",,
Siti Nurbaya,Dewa 19,1995,Alternative rock,,
Kosong,Pure Saturday,1995,Alternative rock,,
Bebas,Iwa K,1995,Hip hop,,
Janji,Gigi,1995,Alternative rock,,
Tentang Aku,Jingga,1995,Pop,,
Generasiku,Boomerang,1996,Hard rock,,
Tolong Bu Dokter,Flowers,1996,Alternative rock,,
Warik,LFM,1996,Akustik Pop rock,,
Bunga,/rif,1997,Alternative rock,,
Salah,Potret,1997,Alternative rock,,
Terbang,Gigi,1997,Alternative rock,,
Atur Aku,Puppen,1997,Alternative rock,,
Bunda,Potret,1997,Soul,,
Kebebasan,Singiku,1997,"New wave, bubblegum pop",,
Dan Senyumlah,Sinikini,1997,Indie rock,,
Langkah Peri,Cherry Bombshell,1997,"Alternative rock, indie rock",,
Matel,Kubik,1997,"Alternative rock, indie rock",,
Mobil Balap,Naif,1998,Alternative rock,,
Distorsi,Ahmad Band,1998,Alternative rock,,
Dan,Sheila On 7,1999,Rock,,
Mahadewi,Padi,1999,Alternative rock,,
Sobat,Padi,1999,Alternative rock,,
Posesif,Naif,2000,Alternative rock,,
Bendera,Cokelat,2003,Alternative rock,,
Mendekati Surga,Koil,2003,Alternative rock,,
Di Sayidan,Shaggydog,2003,Reggae,,
Melompat Lebih Tinggi,Sheila On 7,2003,"Alternative rock, indie rock",,
Me & My Boyfriend,Mocca,2003,Indie rock,,
Matraman,The Upstairs,2004,New wave,,
Mengadili Persepsi,Seringai,2004,Heavy metal,,
Mengejar Matahari,Ari Lasso,2004,Pop,,
Kukatakan Dengan Indah,Peterpan,2004,"Rock, pop rock",,
Senandung Maaf,White Shoes & The Couples Company,2005,"Pop, funk, jazz",,
Konservatif,The Adams,2005,Alternative rock,,
No Fruits For Today,Sore,2005,Pop rock,,
Welcome to My Paradise,Steven & Coconut Treez,2005,Reggae,,
Di Udara,Efek Rumah Kaca,2007,Alternative rock,,
Cinta Melulu,Efek Rumah Kaca,2007,"Alternative rock, indie rock",,
Laskar Pelangi,Nidji,2008,Jangle pop,,
