Province,PDB,Half_Unemployment,Informal_Job,Investing,Formal_Job
ACEH,2.75,10.46,44.13,4424.2,38.55
SUMATERA UTARA,2.37,6.83,46.45,22789.2,40.93
SUMATERA BARAT,0.22,8.68,52.38,2559.8,34.74
RIAU,3.89,7.42,44.3,43062,45.98
JAMBI,2.15,7.46,44.76,8882.7,40.02
SUMATERA SELATAN,2.53,7.08,45.1,23526,36.72
BENGKULU,2.73,8.02,47.72,6957.3,32.46
LAMPUNG,1.82,6.92,55.67,5809.2,28.49
KEP. BANGKA BELITUNG,0.18,3.37,43.49,6309,50.37
KEP. RIAU,-1.14,4.95,32.57,4817.4,63.68
DKI JAKARTA,2.27,2.71,36.82,89223.6,63.12
JAWA BARAT,0.33,5.62,48.57,80808.3,45.39
JAWA TENGAH,2.14,5.39,49.99,24992.3,39.84
DI YOGYAKARTA,4.55,4.76,44.19,2275,46.62
JAWA TIMUR,2.53,5.77,50.73,65355.9,36.14
BANTEN,0.75,4.57,42.5,31283.9,52.04
BALI,-1.81,3.93,43.45,6002.1,46.57
NUSA TENGGARA BARAT,4.56,13.3,63.17,11031.5,24.64
NUSA TENGGARA TIMUR,-0.72,12.5,52.98,3459.3,24.76
KALIMANTAN BARAT,1.98,7.21,41.39,9382.9,41.23
KALIMANTAN TENGAH,6.61,5.38,40.98,6556.8,48.5
KALIMANTAN SELATAN,5.97,6.76,43.37,12310.4,42.7
KALIMANTAN TIMUR,2.9,4.81,36.54,39595.6,55.74
KALIMANTAN UTARA,0.63,6.19,33.73,7526.4,51
SULAWESI UTARA,2.41,6.27,49.43,5042.1,40.85
SULAWESI TENGAH,10.7,7.62,49.37,3758.6,32.13
SULAWESI SELATAN,0.43,6.23,44.89,7528,36.45
SULAWESI TENGGARA,4.83,8.14,45.98,7596,37.61
GORONTALO,-1.93,6.1,52.03,1113.5,35.03
SULAWESI BARAT,-4.04,13.04,57.15,1313.3,22.75
MALUKU,4.06,11.8,48.04,611,36.7
MALUKU UTARA,19.52,9.28,54.29,3414.9,34.37
PAPUA BARAT,1.16,12.29,38.02,2139.1,39.72
PAPUA,6.32,5.85,45.83,1311.8,15.89
