index,fresh_milk,dairy_cows,dairy_company,category
0,0,22,0,nonprodusen
1,8980.41,5303,2,nonprodusen
2,835.32,756,4,nonprodusen
3,36.73,68,0,nonprodusen
4,3.66,13,0,nonprodusen
5,0,48,0,nonprodusen
6,210.58,270,0,nonprodusen
7,1757.81,1038,0,nonprodusen
8,144.61,104,0,nonprodusen
9,0,3,0,nonprodusen
10,3268.89,1394,0,nonprodusen
11,300198.28,120794,8,produsen
12,103547.2,143465,6,produsen
13,3884.88,3516,1,nonprodusen
14,543687.16,314385,8,produsen
15,68.63,58,0,nonprodusen
16,0,0,0,nonprodusen
17,0,20,0,nonprodusen
18,43.02,34,0,nonprodusen
19,0,188,0,nonprodusen
20,0,0,0,nonprodusen
21,132.09,78,0,nonprodusen
22,86.09,78,1,nonprodusen
23,0,3,0,nonprodusen
24,0,15,0,nonprodusen
25,0,7,0,nonprodusen
26,1993.2,1177,0,nonprodusen
27,101.61,60,0,nonprodusen
28,0,0,0,nonprodusen
29,0,0,0,nonprodusen
30,0,0,0,nonprodusen
31,0,0,0,nonprodusen
32,0,0,0,nonprodusen
33,0,0,0,nonprodusen
