Province,illiterate,Never Attended School,organized_learning_partisipated_preschool,gross_partisipated_preschool
ACEH,1.59,1.17,97.45,30.81
SUMATERA UTARA,0.84,1.40,96.37,23.03
SUMATERA BARAT,0.67,1.32,95.78,28.11
RIAU,0.76,2.03,95.41,22.57
JAMBI,1.75,2.55,95.86,31.25
SUMATERA SELATAN,1.24,1.80,95.56,25.08
BENGKULU,2.03,1.94,94.84,26.7
LAMPUNG,2.49,1.74,96.31,30.71
KEP. BANGKA BELITUNG,1.7,1.98,98.33,32.12
KEP. RIAU,0.87,1.69,87.55,28.62
DKI JAKARTA,0.31,0.88,89.09,37.25
JAWA BARAT,1.38,1.81,95.4,32.38
JAWA TENGAH,5.27,3.48,97.08,46.48
DI YOGYAKARTA,4.53,2.90,99.16,62.98
JAWA TIMUR,6.15,4.61,96.82,52.18
BANTEN,1.68,2.52,95.23,27.65
BALI,4.11,4.65,97.38,29.58
NUSA TENGGARA BARAT,9.93,6.14,95.09,42.18
NUSA TENGGARA TIMUR,4.78,3.67,94.98,32.46
KALIMANTAN BARAT,5.43,5.04,95.49,20.22
KALIMANTAN TENGAH,0.82,1.79,95.48,33.78
KALIMANTAN SELATAN,1.52,1.21,96.64,43.54
KALIMANTAN TIMUR,0.94,1.22,92.56,26.98
KALIMANTAN UTARA,2.07,3.85,88.18,32.69
SULAWESI UTARA,0.21,0.36,95.35,30.76
SULAWESI TENGAH,1.77,2.37,95.36,37.22
SULAWESI SELATAN,6.03,4.36,96.29,30.56
SULAWESI TENGGARA,3.75,3.09,94.65,33.27
GORONTALO,1.49,3.16,97.76,50.62
SULAWESI BARAT,5.53,5.44,94.61,44.02
MALUKU,0.55,1.17,97.54,30.3
MALUKU UTARA,1.1,1.66,95.84,38.03
PAPUA BARAT,2.31,4.79,92.79,25
PAPUA,17.64,27.99,60.32,12.71
,,,,
