index,SAYUR-SAYURAN,UMBI-UMBIAN,IKAN,TELUR,SUSU,PADI PADIAN,DAGING,KONSUMSI
0,12350,864,16810,2824,1410,27051,3433,middle_comsumption
1,15781,1688,19371,3632,1907,17497,5926,middle_comsumption
2,11859,883,17808,2483,1121,20461,2350,middle_comsumption
3,13646,1123,18106,3289,1391,21137,5363,middle_comsumption
4,14479,1235,21435,3300,1249,17214,5581,middle_comsumption
5,16263,2062,16740,3641,2467,20136,4043,middle_comsumption
6,14742,2018,29000,4024,2419,16938,5881,middle_comsumption
7,11916,1260,21005,3344,2186,16447,4348,middle_comsumption
8,13398,883,20580,3284,2467,21338,3154,middle_comsumption
9,12772,1163,27711,3251,2495,17462,7113,middle_comsumption
10,11518,1011,18998,2917,1118,16212,3485,middle_comsumption
11,10402,739,16300,2460,1110,18292,2128,middle_comsumption
12,14809,2105,19773,4670,1198,28382,13302,middle_comsumption
13,12846,991,15840,3230,3112,16907,3702,middle_comsumption
14,18509,3122,25907,4705,2730,20249,12288,middle_comsumption
15,12287,1343,23240,3780,2530,20885,6256,middle_comsumption
16,16706,2176,18438,4074,1621,21750,4632,middle_comsumption
17,13655,1281,23735,3013,1898,20220,3755,middle_comsumption
18,15352,1862,27640,5240,6030,14830,11430,high_consumption
19,16563,1574,23749,4428,4544,16372,7662,high_consumption
20,12433,1062,16918,4509,3919,13673,4522,middle_comsumption
21,12316,1226,21005,2886,3310,14391,4267,middle_comsumption
22,12970,1329,17858,3203,2628,18421,4397,middle_comsumption
23,9440,1513,9961,3217,2363,27908,9559,middle_comsumption
24,14114,1432,15960,3439,1527,22897,3795,middle_comsumption
25,13826,2132,15350,3614,1156,22793,4705,middle_comsumption
26,11029,714,18519,2844,1926,19761,2322,middle_comsumption
27,12259,1307,21527,3950,3955,21699,8723,middle_comsumption
28,12739,1233,23355,4412,7942,22283,9417,high_consumption
29,14093,1548,19266,3357,3616,20281,5614,middle_comsumption
30,16032,1469,19014,3809,3665,17132,4643,middle_comsumption
31,14734,1477,17789,3766,4098,18713,6545,middle_comsumption
32,12747,975,17436,2942,4485,22559,7517,middle_comsumption
33,20004,2046,25197,5199,3934,26119,11708,high_consumption
34,16324,2095,20791,4806,4422,18236,8150,high_consumption
35,16012,1879,16450,3908,3553,17767,6103,middle_comsumption
36,10132,1998,12109,2760,2645,30104,6766,middle_comsumption
37,11572,943,20806,3660,4216,24610,6786,middle_comsumption
38,12393,1281,17631,4217,3943,23290,6973,middle_comsumption
39,14910,1555,22405,4109,4919,23379,8060,high_consumption
40,13544,1333,16372,3957,3741,17300,3513,middle_comsumption
41,14265,1273,17758,3249,3421,17096,4269,middle_comsumption
42,13853,1700,18029,4095,1633,25864,5012,middle_comsumption
43,14513,2073,18057,4234,1416,23840,5312,middle_comsumption
44,14722,1721,17049,3693,3436,19788,5405,middle_comsumption
45,13788,1585,20397,3428,3118,18684,4938,middle_comsumption
46,8634,1637,12720,2929,1832,29163,7388,middle_comsumption
47,6853,1301,9350,2670,1731,27299,6146,middle_comsumption
48,11330,860,20388,3418,4657,16297,2981,high_consumption
49,11710,1296,21827,3815,4222,16326,5830,high_consumption
50,13271,1756,20742,4026,7781,17034,7141,high_consumption
51,13304,1147,17673,4012,6624,15430,5360,high_consumption
52,16693,1894,24687,4590,7587,17226,10063,high_consumption
53,16125,2061,18533,4288,5470,16061,6783,high_consumption
54,13504,1523,18067,4191,2318,16861,4711,middle_comsumption
55,10666,1296,14537,3320,3253,24999,8466,middle_comsumption
56,13873,6998,17487,3663,1814,16579,7546,middle_comsumption
57,15638,1704,15943,2895,2795,18400,3714,middle_comsumption
58,15572,2446,12299,4082,2245,23392,7278,middle_comsumption
59,17584,2036,12956,3866,3657,18748,7802,middle_comsumption
60,12973,1648,14535,4459,3908,19692,7866,middle_comsumption
61,13947,1702,14433,3622,2080,17398,5894,middle_comsumption
62,15354,1980,16193,4287,3179,20374,7740,middle_comsumption
63,14649,1890,15012,3884,2434,21484,7316,middle_comsumption
64,15084,1732,13835,3723,1651,21969,5020,middle_comsumption
65,17102,2721,13463,3988,1920,21363,8412,middle_comsumption
66,17541,1736,13699,3907,4121,16129,6867,middle_comsumption
